"Postnr","Bynavn","KommuneID","Kommune","Region","Formidlingsaftaledato","Salgsdato","EjTypeNr","EjdType","Boligtilstand","Udbudspris","Kontantpris","Grundvaerdi","Vurderingsaar","EjdVurdering","Foraeldrekoeb","MaeglersVaerdiansaettelse","Boligareal","Kaelderareal","Grundareal","Opfoerelsesaar","Ombygningsaar","AntalPlan","NytKokken","NytTag","Tilbygning","AntalToiletter","Vaskemaskine","NyeVinduer","NytBadevaerelse","AfstandTilCity","BebyggetAreal","AntalSovevaerelser","AfstandDagligvarer","AfstandSkole","AfstandOffentligTransport","Elevator","Gaardmiljoe","Altan","TaetVedVand","Toilet","Bad","Energimaerke","Ydervaegge","GarageCarport","Studiebolig","HvilkenEtage","FuldAdresse","id","xkoor","ykoor","long","lat"
9260,"Gistrup",851,"Aalborg","Nordjylland","21-06-2014","18-08-2014",17,"Villa, 1 fam.","God",1495000,1300000,439000,2013,1350000,NA,1495000,122,0,701,1965,NA,1,NA,0,0,1,NA,NA,NA,"10000",122,"3","1500","1500","1000","0","0","0",NA,NA,NA,"C","Mursten (tegl, kalksten, cementsten)",30,NA,NA,"Nygårdsvej 25",NA,560126.3,6317417.17,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","15-07-2013","28-02-2014",17,"Villa, 1 fam.","God",2495000,2100000,507600,2011,2300000,NA,2199000,210,84,892,1967,1976,2,NA,0,1976,2,NA,NA,NA,"9000",210,"4","2000","1500","1000","0","0","0",NA,NA,NA,"D","Mursten",0,NA,NA,"Zentavej 17",NA,560407.38,6316932.26,9.99751117,56.99689431
9260,"Gistrup",851,"Aalborg","Nordjylland","04-06-2014","04-09-2014",1,"Andel-/Aktiebolig","God",968741,968741,0,2008,NA,0,968741,106,0,0,1985,NA,1,NA,0,0,1,NA,NA,NA,"10000",0,"2","2000","2500","100","0","0","0",NA,NA,NA,"C","Mursten",0,NA,NA,"Elmelunden 14",NA,560363.58,6317993.46,9.99751117,56.99689431
9260,"Gistrup",851,"Aalborg","Nordjylland","07-08-2015","28-08-2015",1,"Andel-/Aktiebolig","God",345000,100000,0,2008,NA,0,100000,94,0,0,2004,NA,1,NA,0,0,0,NA,NA,NA,"0",0,"0","5000","900","50","0","1","0",NA,NA,NA,"B",NA,0,NA,NA,"Pakhusvej 23",NA,560209.33,6317591.03,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","10-06-2013","11-06-2013",12,"Fritidshus","God",2990000,2700000,174100,2011,760000,NA,2895000,114,0,51630,1920,NA,2,NA,0,0,2,NA,NA,NA,"8000",78,"2","3000","1500","1500","0","0","0",NA,NA,NA,NA,"Mursten (tegl, kalksandsten, cementsten)",45,NA,NA,"Nøvling Kirkevej 22",NA,557200.97,6314974.61,9.99963353,56.99621373
9260,"Gistrup",851,"Aalborg","Nordjylland","05-11-2010","17-12-2010",17,"Villa, 1 fam.","God",745000,745000,160700,2009,750000,NA,NA,81,50,348,1946,1981,3,NA,NA,1981,2,NA,NA,NA,"13 km",50,"2","3 km","600","500",NA,NA,NA,NA,"2 vandskyllende toiletter","1 badevaerelse",NA,"Mursten (tegl, kalksandsten, cementsten)",20,NA,NA,"Skomagerbakken 32",NA,563865.65,6311050.89,9.99709325,56.99744306
9260,"Gistrup",851,"Aalborg","Nordjylland","08-10-2010","29-10-2010",17,"Villa, 1 fam.","God",1995000,1825000,498000,2009,1950000,NA,NA,184,0,860,1965,1973,1,NA,NA,1973,2,NA,NA,NA,"400",184,"3","400","500","200",NA,NA,NA,NA,"2 toiletter","Bruse- og karbad",NA,"Mursten",28,NA,NA,"Alsbjergvej 8",NA,560242.31,6316857.63,10.00013069,56.995792
9260,"Gistrup",851,"Aalborg","Nordjylland","14-12-2014","12-01-2015",7,"Raekkehus","God",1295000,1295000,133000,2013,960000,NA,1295000,94,0,960,1984,1994,1,NA,0,1994,0,NA,NA,NA,"0",0,"0","3700","600","100","0","0","0",NA,NA,NA,"C","Mursten (tegl, kalksten, cementsten)",0,NA,NA,"Opalvej 6A",NA,558350.26,6315018.42,9.99963353,56.99621373
9260,"Gistrup",851,"Aalborg","Nordjylland","18-01-2011","05-06-2011",17,"Villa, 1 fam.","God",3295000,2875000,497700,2009,3300000,NA,NA,177,0,679,2007,2007,1,NA,0,0,2,NA,NA,NA,"10000",232,"5","1700","2000","1000","0","0","0",NA,NA,NA,NA,"Mursten (tegl, kalksandsten, cementsten)",0,NA,"0","Broagervej 34",NA,560317.57,6318690.62,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","04-05-2013","02-10-2013",17,"Villa, 1 fam.","God",2395000,2140000,507300,2011,1600000,NA,0,158,0,891,1976,NA,2,NA,0,0,1,NA,NA,NA,"0",89,"0","1100","1800","500","0","0","0",NA,NA,NA,"C","Mursten (tegl, kalksten, cementsten)",50,NA,NA,"Spiren 55",NA,560173.33,6317937.29,9.98582553,57.00070781
